Produto,Cor,Valor,Quantidade,Sexo,Idade,Data da Venda,Canal
Camiseta,Preta,29.99,50,Masculino,30,2023-08-01,Loja Física
Calça Jeans,Azul,59.99,40,Feminino,25,2023-08-02,Loja Online
Tênis,Branco,79.99,30,Masculino,28,2023-08-03,Loja Física
Vestido,Vermelho,39.99,35,Feminino,22,2023-08-04,Loja Online
Camiseta,Verde,29.99,45,Masculino,32,2023-08-05,Loja Física
Shorts,Amarelo,19.99,60,Feminino,24,2023-08-06,Loja Online
Tênis,Preto,79.99,32,Masculino,26,2023-08-07,Loja Física
Vestido,Azul,39.99,38,Feminino,29,2023-08-08,Loja Online
Saia,Rosa,24.99,55,Feminino,27,2023-08-09,Loja Física
Jaqueta,Marrom,69.99,28,Masculino,35,2023-08-10,Loja Online
Calça,Salmão,49.99,42,Feminino,23,2023-08-11,Loja Física
Blusa,Amarelo,34.99,48,Feminino,31,2023-08-12,Loja Online
Camisa,Verde,44.99,36,Masculino,33,2023-08-13,Loja Física
Shorts Jeans,Azul,19.99,58,Feminino,26,2023-08-14,Loja Online
Tênis,Vermelho,69.99,29,Masculino,29,2023-08-15,Loja Física
Calça Jeans,Preta,59.99,37,Feminino,28,2023-08-16,Loja Online
Vestido,Amarelo,39.99,33,Feminino,30,2023-08-17,Loja Física
Camiseta,Cinza,29.99,49,Masculino,27,2023-08-18,Loja Online
Saia Jeans,Azul,24.99,44,Feminino,24,2023-08-19,Loja Física